Januar,Februar,MÃ¤rz,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
1086.86,1233.72,1995.35,1988.70,2608.35,2198.83,2271.37,2356.40,2320.46,2004.90,1925.68,2051.77
416.65,524.78,730.49,819.16,702.47,789.98,842.91,849.98,749.02,756.81,688.85,753.82
6067.30,7842.52,12357.86,10694.71,14987.12,11233.29,12844.14,12646.94,12900.92,9800.60,10675.08,11263.93
26935.78,3127.72,9160.90,10223.02,5182.11,13596.38,17705.08,19599.41,29329.65,12500.32,13203.18,7587.02
21830.88,2390.34,7406.92,8210.05,3617.10,9624.99,12913.96,14476.59,21552.79,9128.91,10045.86,5668.12
1430.30,1053.30,2259.56,3481.44,9204.30,10272.90,6207.60,7179.93,12152.89,5348.56,2638.74,2429.58
0.00,0.00,376.84,1512.15,2193.38,3263.31,1669.86,1541.34,3860.16,1668.13,977.53,628.18
4034.37,3144.94,4135.48,4272.45,11319.63,13872.89,11152.33,11664.27,16633.10,8322.14,12898.95,9960.56
13666.19,2069.93,7266.75,11806.02,17002.66,23051.17,19728.06,19010.81,23738.32,13497.68,0.00,0.00
90.50,63.63,78.54,106.76,135.36,123.67,127.68,96.77,90.28,84.19,74.33,85.87
29508.38,469.38,11724.15,15476.71,16353.54,27998.32,16923.02,14636.21,24561.74,6344.07,13146.14,17749.14
26795.95,415.48,9524.92,10464.69,1693.45,1602.03,1490.30,2162.86,8803.66,2059.49,11375.17,16583.16
245.02,0.00,184.52,812.37,2573.77,7382.10,6395.13,7462.26,5057.59,1676.45,464.13,346.18
0.00,0.00,0.00,0.00,68.17,197.70,67.83,36.91,66.47,5.55,0.00,0.00
9.37,0.00,159.43,541.58,2603.41,3919.14,2819.01,1784.76,0.00,0.00,0.00,0.00
10.31,2.25,74.11,554.20,2620.20,4463.33,2529.72,1862.57,2882.96,801.22,214.35,106.66